,_latitude,_longitude,arrival_of_the_freight_vehicle,number_of_operators,departure_of_the_freight_vehicle,number_of_available_trolleys,maximum_number_of_vehicles_in_the_traffic_jam,_record_id,_title,_server_updated_at,_updated_by,_geometry,plates,company_if_visible,visit_purpose,type_of_vehicle,refrigerated_truck,type_of_cargo,picture_of_the_parked_freight_vehicle,where_was_the_vehicle_parked,while_parked_was_the_engine_running,used_traffic_cone,vehicles_unloading_door,garage_blocking,accident,noise,traffic_congestion
153,19.01463019,-98.22103291,13:50,1,14:15,1,2.0,d39f0ba1-02e9-4530-8c7d-3bc21f595a8b,"501 Avenida las Margaritas
Puebla de Zaragoza PUE 72450
MX",2022-11-09 20:52:03 UTC,Saúl Cuervo,SRID=4326;POINT(-98.2210329083 19.014630192),RX-55-661,Bimbo,Delivery,Light truck or Van,no,"""Bakery (bread, cookies, cakes, etc.)""",https://web.fulcrumapp.com/photos/view?photos=d709ce17-cc33-471c-acf6-2ad5186e5e79,Street - next to the curbside,no,no,Rear,no,no,no,yes
154,19.07473645,-98.17446617,14:41,2,16:00,0,5.0,6d2ada32-9b18-44e0-97e6-97338e174994,"42 Avenida Adolfo López Mateos
Puebla de Zaragoza PUE 72210
MX",2022-11-09 20:44:48 UTC,Pedro Contreras,SRID=4326;POINT(-98.1744661668 19.0747364535),TYR-35-52,Bimbo,Delivery,Light truck or Van,no,Produce (fruits & vegetables),https://web.fulcrumapp.com/photos/view?photos=d58967f7-6a07-438c-9ffd-94436687ec2d,Street - next to the curbside,no,no,Rear,no,no,no,no
155,19.02516802,-98.24909727,14:29,1,14:35,0,5.0,227091c9-d136-428b-b0dd-f205f0675832,"164–1626 Avenida Venustiano Carranza
San Bernardino Tlaxcalancingo PUE 72835
MX",2022-11-09 20:43:23 UTC,Juan Spínola,SRID=4326;POINT(-98.2490972742 19.0251680226),SP29776,Gamesa,Delivery,Light truck or Van,no,"""Bakery (bread, cookies, cakes, etc.)""",https://web.fulcrumapp.com/photos/view?photos=b423e1c3-8ea2-42dc-b097-666488ddefeb,Street - next to the curbside,no,no,Side,no,no,no,no
156,19.07444109,-98.17355007,14:35,2,14:45,0,5.0,02fdc4b9-3d48-42db-8f53-dfca7d8972c0,"47 Avenida Citlaltépetl
Puebla de Zaragoza PUE 72210
MX",2022-11-09 20:37:51 UTC,Pedro Contreras,SRID=4326;POINT(-98.1735500735 19.0744410853),239-DV-3,Pitic,Sales & delivery,Heavy duty truck,no,"""Paper Goods (paper towels, toilet paper, etc.)""",https://web.fulcrumapp.com/photos/view?photos=99af1b0e-b63a-4e67-b1b3-f8d1df5ee915,Street - next to the curbside,no,no,Rear,yes,no,no,no
157,19.07441178,-98.17245372,14:18,5,14:50,0,5.0,df4c1636-1fd6-4787-a0b6-f92a5042177a,"65 Calle General Lázaro Cárdenas
Puebla de Zaragoza PUE 72210
MX",2022-11-09 20:35:07 UTC,Pedro Contreras,SRID=4326;POINT(-98.172453718 19.0744117775),758-DE-7,Grumavy,Delivery,Heavy duty truck,no,Metal,https://web.fulcrumapp.com/photos/view?photos=fe809634-373c-480c-8e88-e7a4cb528c7a,Street - next to the curbside,no,no,Rear,yes,no,no,no
158,19.07616531,-98.17082087,14:24,1,14:26,0,5.0,febd53d0-6c61-4512-9fd6-99a096894d04,"1–27 Avenida Malintzi
Puebla de Zaragoza PUE 72210
MX",2022-11-09 20:27:08 UTC,Pedro Contreras,SRID=4326;POINT(-98.1708208659 19.0761653055),XE-6383-A,Fastenal,Sales (usually small car or motorcycle),Pick-up,no,Tools,https://web.fulcrumapp.com/photos/view?photos=9ea13715-d8d1-47d8-a5a0-de6ab7f39856,Street - next to the curbside,no,no,Rear,no,no,no,no
159,19.07216865,-98.16727834,12:51,1,12:52,0,5.0,68fd022b-56cf-40f1-b34c-e9a77d6cc466,"2213 Calle Cordillera Central
Puebla de Zaragoza PUE 72220
MX",2022-11-09 18:58:55 UTC,Pedro Contreras,SRID=4326;POINT(-98.1672783383 19.0721686464),TNH-542-B,Fastenal,Sales & delivery,Automobile,no,"""Non-alcoholic beverages (water, soda, etc.)""",https://web.fulcrumapp.com/photos/view?photos=5ec33622-21f7-4e55-8e4a-7e92cc40fcfd,Street - next to the curbside,no,no,Rear,yes,no,no,no
160,19.07197528,-98.16699092,12:40,1,12:41,0,5.0,5b02a047-35ed-4b67-b063-4f095bba9b14,"2218–2234 Calle Cordillera Central
Puebla de Zaragoza PUE 72220
MX",2022-11-09 18:48:24 UTC,Pedro Contreras,SRID=4326;POINT(-98.1669909229 19.0719752759),XWA-636-A,Coca-Cola,Sales (usually small car or motorcycle),Automobile,no,"""Non-alcoholic beverages (water, soda, etc.)""",https://web.fulcrumapp.com/photos/view?photos=00bc6ac8-a514-436b-b9cb-81fb53e5f71e,Street - next to the curbside,no,no,Side,no,no,no,no
161,19.07207519,-98.16657669,12:32,1,12:34,0,5.0,faaa3bf6-0aa1-4ad9-9395-77e654228cc2,"9006 Avenida Montes Urales
Puebla de Zaragoza PUE 72220
MX",2022-11-09 18:39:13 UTC,Pedro Contreras,SRID=4326;POINT(-98.1665766892 19.0720751882),SN-29-824,Coca-Cola,Sales & delivery,Light truck or Van,no,Produce (fruits & vegetables),https://web.fulcrumapp.com/photos/view?photos=296cea02-ed2f-4abb-a559-d405a81adc9f,Street - next to the curbside,no,no,Rear,no,no,no,no
162,19.07196103,-98.16697595,12:24,2,12:25,1,5.0,c43d8722-97dc-4750-8d11-e1922aef3f7e,"2218–2234 Calle Cordillera Central
Puebla de Zaragoza PUE 72220
MX",2022-11-09 18:34:06 UTC,Eduardo Zárate,SRID=4326;POINT(-98.166975953 19.071961034),WZ-5819-A,Coca-Cola,Delivery,Light truck or Van,yes,Hielo,https://web.fulcrumapp.com/photos/view?photos=3da838d7-d886-4717-872d-7a06259a312e,Street - next to the curbside,no,no,Side,no,no,no,no
